Game_No,Team,Passing,Rushing,Carries,Completions,Attempts,Intercepts,Tackles,Fumbles
400933827,Alabama,96,173,42,10,18,0,62, 
400933828,Arkansas,179,236,45,16,22,1,56,0
400933829,Auburn,184,351,53,15,26,1,64,4
400933830,Michigan,218,215,49,12,26,2,48,0
400933831,Georgia,147,221,44,11,20,2,69, 
400933832,Kentucky,176,78,35,11,20,0,77,1
400933833,LSU,183,296,57,15,18,0,38, 
400933834,Ole Miss,429,102,29,28,35,0,64,1
400933835,Mississippi State,274,281,50,20,36,0,67, 
400933836,Missouri,521,294,41,21,34,1,62,2
400933837,South Carolina,215,31,21,17,29,1,100,0
400933838,UCLA,491,63,25,35,59,0,79,3
400933839,Vanderbilt,296,71,35,20,28,0,44,1
400933840,Tennessee,221,148,22,20,37,0,134,0
400933841,Alabama,192,305,39,20,27,0,62, 
400933842,TCU,166,195,42,21,31,1,57,3
400933843,Clemson,185,96,36,20,31,0,85,2
400933845,Georgia,141,185,43,16,29,1,76,1
400933846,Kentucky,229,207,39,16,24,0,66,0
400933847,LSU,232,222,46,9,18,0,69,1
400933848,Ole Miss,489,54,18,32,43,1,75,1
400933849,Mississippi State,132,327,40,13,20,1,75,0
400933850,South Carolina,187,172,40,18,28,0,55,0
400933851,Tennessee,235,160,37,17,30,1,66,2
400933852,Texas A&M,198,195,47,24,36,0,47,0
400933853,Vanderbilt,227,174,35,19,26,0,59, 
400933854,Alabama,248,239,39,13,21,0,81, 
400933855,Auburn,364,146,43,32,37,1,57,5
400933856,Florida,212,168,29,18,28,1,71,2
400933857,Georgia,175,284,54,9,15,0,50,2
400933858,California,236,163,40,24,48,2,64,1
400933859,Mississippi State,180,285,48,15,23,0,71, 
400933860,Purdue,272,205,50,26,34,1,55,1
400933861,Kentucky,169,184,47,16,26,1,67,1
400933862,Texas A&M,301,179,40,21,34,1,71,5
400933863,Vanderbilt,205,65,32,14,23,0,61,1
400933864,Texas A&M,216,285,42,14,27,1,63, 
400933865,Georgia,201,203,42,9,12,0,73,1
400933866,Florida,209,186,36,17,27,1,66, 
400933867,LSU,263,151,38,14,23,1,91, 
400933868,Auburn,219,263,53,16,21,0,54,0
400933869,South Carolina,295,143,32,22,35,1,54,4
400933870,Tennessee,184,135,39,19,32,0,57,2
400933871,Alabama,181,496,66,17,27,0,37,3
400933872,Alabama,248,365,51,15,24,0,62,1
400933873,Arkansas,264,230,51,19,26,1,41,2
400933874,Auburn,267,244,39,14,17,0,81,2
400933875,Florida,249,218,51,17,26,0,46,1
400933876,Kentucky,175,53,37,18,27,0,65,2
400933877,Troy,157,206,42,16,28,0,64,2
400933878,Georgia,84,294,55,7,17,1,53,3
400933879,Texas A&M,159,237,49,19,27,0,47,2
400933880,Auburn,235,326,51,14,21,0,73, 
400933881,Kentucky,298,188,39,22,37,1,64,0
400933882,LSU,125,216,48,9,16,0,66, 
400933883,South Carolina,199,159,36,16,31,0,49,1
400933884,Alabama,123,232,44,13,22,0,79,2
400933885,Georgia,126,423,54,10,14,0,50,2
400933886,Alabama,188,308,43,13,21,1,65,3
400933887,Texas A&M,180,83,38,8,24,1,86,1
400933888,Georgia,326,370,51,18,26,1,49,1
400933889,LSU,206,157,39,13,25,0,81,1
400933890,Ole Miss,351,252,41,22,35,0,71,0
400933891,Mississippi State,240,306,53,20,31,2,59,1
400933892,South Carolina,129,194,40,15,24,0,55, 
400933893,Alabama,332,272,53,22,33,1,58,3
400933894,Auburn,284,345,47,21,30,1,66,1
400933895,LSU,200,393,55,9,13,0,57, 
400933896,Mississippi State,159,282,48,19,27,0,73, 
400933897,Missouri,475,183,30,24,34,1,72,0
400933898,Georgia,101,292,35,4,7,1,79,0
400933899,Kentucky,82,289,36,7,16,0,88,4
400933900,Arkansas,189,260,53,19,30,1,66,1
400933901,Missouri,408,175,34,34,43,1,71, 
400933902,South Carolina,174,212,37,19,29,0,54, 
400933903,Mississippi State,141,228,52,12,21,1,57,2
400933904,Alabama,183,116,36,11,24,0,80, 
400933905,Arkansas,264,259,35,16,25,0,62,3
400933906,Georgia,196,242,53,16,22,0,47,1
400933907,Ole Miss,382,91,26,31,41,0,67, 
400933908,Mississippi State,139,254,45,14,26,3,65, 
400933909,Missouri,228,227,46,15,21,1,62,0
400933910,Tennessee,115,95,38,10,21,0,70,1
400933911,Auburn,268,228,52,20,27,0,62, 
400933912,Vanderbilt,220,174,35,14,21,0,69,1
400933913,Auburn,251,237,46,17,25,0,60,1
400933914,LSU,217,198,39,11,16,0,83,1
400933915,Ole Miss,418,223,43,28,36,1,61, 
400933916,Alabama,242,202,38,10,18,0,90,1
400933917,Missouri,226,433,53,14,30,1,57,0
400933918,South Carolina,249,220,47,19,29,3,35,1
400933919,Texas A&M,499,63,23,30,43,0,56,2
400933920,Kentucky,195,232,47,13,17,0,50,3
400933921,Alabama,265,265,42,14,18,0,66,2
400933922,Mississippi State,153,195,48,12,23,0,53,4
400933923,Auburn,235,317,48,18,24,1,71,3
400933924,Florida,152,257,50,15,30,0,49,0
400933925,Georgia,123,381,44,9,14,1,69, 
400933926,Texas A&M,272,119,44,19,32,1,63,0
400933927,South Carolina,194,195,38,22,28,0,49,0
400933928,LSU,81,200,43,11,15,0,64,0
400933929,Missouri,235,191,39,10,25,0,68, 
400933930,Ole Miss,247,108,32,10,22,1,113,1
400933931,Missouri,448,248,60,25,42,2,56, 
400933932,Auburn,240,168,49,22,29,0,65,1
400933933,Florida State,128,88,34,10,21,1,72,0
400933934,Georgia,224,247,43,12,17,0,52,1
400933935,Louisville,216,346,43,15,21,0,71,2
400933936,LSU,351,250,56,20,31,0,57,2
400933937,Clemson,285,184,45,25,38,2,49,1
400933938,Vanderbilt,283,246,43,20,31,0,37,1
400934488,Iowa State,271,134,35,27,36,1,60, 
400934489,Liberty,447,138,43,44,60,0,47,2
400934490,Kansas,364,73,25,23,37,2,66,2
400934491,Kansas State,333,186,31,10,16,0,82, 
400934492,Oklahoma,496,180,38,32,36,0,46,0
400934493,Oklahoma State,308,332,37,21,26,0,85,2
400934494,TCU,300,242,36,23,30,1,75,1
400934495,Maryland,219,263,43,12,15,1,74,0
400934496,Texas Tech,449,177,40,31,35,0,64,2
400934497,Virginia Tech,235,234,45,15,27,0,68, 
400934498,UT San Antonio,155,220,45,15,20,0,47,1
400934499,Iowa,333,164,41,27,41,0,69,1
400934500,Central Michigan,467,123,35,28,37,0,66,1
400934501,Kansas State,189,304,51,17,23,0,42,0
400934502,Oklahoma,386,104,37,27,35,0,57,2
400934503,Oklahoma State,342,163,37,26,41,0,53,1
400934504,Texas,217,406,59,16,29,0,50,1
400934505,West Virginia,403,211,47,24,34,0,68, 
400934506,Duke,184,246,51,20,35,1,45,2
400934507,Ohio,254,196,42,16,22,1,82, 
400934508,Oklahoma,434,197,32,20,30,0,88,2
400934509,Oklahoma State,572,104,35,26,37,1,57,1
400934510,TCU,365,254,49,24,30,0,62,3
400934511,USC,397,71,37,28,51,2,79,0
400934512,Texas Tech,543,72,29,37,50,0,81,1
400934513,West Virginia,334,204,35,24,34,1,64,4
400934514,West Virginia,347,288,43,25,39,1,65,1
400934515,Oklahoma,283,342,40,13,19,0,67,2
400934516,TCU,228,238,52,22,33,1,61,3
400934517,Iowa State,317,191,37,24,33,0,60,2
400934518,Texas Tech,321,200,33,29,45,1,76,3
400934519,Kansas State,119,225,43,7,17,0,62,2
400934520,Oklahoma State,376,221,44,27,38,1,61, 
400934521,Texas,171,141,52,19,26,1,47,2
400934522,TCU,236,170,36,16,29,0,76,0
400934523,Iowa State,368,81,32,20,27,0,77,0
400934524,Texas,380,166,40,30,51,1,61,2
400934525,Texas Tech,290,313,52,22,27,1,65,1
400934526,Oklahoma State,471,276,38,20,33,0,68,2
400934527,Iowa State,212,106,43,18,30,0,67,2
400934528,Oklahoma,344,174,39,18,28,1,62,1
400934529,West Virginia,352,44,29,32,41,1,64, 
400934530,TCU,297,98,36,27,37,0,50,2
400934531,Iowa State,192,208,36,22,32,1,86,1
400934532,TCU,284,191,42,20,28,0,50,3
400934533,West Virginia,375,118,29,26,37,0,67, 
400934534,Oklahoma,410,209,38,32,41,1,51,1
400934535,Oklahoma State,282,146,51,25,38,0,60,4
400934536,Kansas State,138,202,43,8,13,0,52,1
400934537,Oklahoma State,216,246,56,20,34,1,53,3
400934538,Texas,256,171,35,27,36,1,63,0
400934539,Oklahoma,281,336,47,22,34,1,67,1
400934540,Iowa State,202,53,33,21,35,1,66,0
400934541,Baylor,335,120,39,24,30,0,64,0
400934542,West Virginia,316,208,47,20,25,1,68, 
400934543,Kansas State,263,145,36,18,28,1,66, 
400934544,Oklahoma,598,187,40,24,36,2,57,0
400934545,TCU,166,177,46,19,27,0,61, 
400934546,Texas,258,113,40,24,34,1,61,2
400934547,West Virginia,372,120,26,27,46,2,66,2
400934548,Oklahoma State,376,146,37,25,31,0,74,1
400934549,Texas Tech,246,91,30,24,29,0,67,1
400934550,Oklahoma,333,200,41,18,27,0,56,2
400934551,Iowa State,180,214,40,14,28,0,54,1
400934552,Kansas State,204,217,49,10,13,0,58,1
400934553,Oklahoma,312,157,36,23,35,0,50,0
400934554,Texas,187,233,42,17,27,1,51,1
400934555,TCU,85,204,42,6,17,0,64,6
400934556,TCU,325,112,36,26,36,0,57,2
400934557,Texas Tech,333,62,34,20,45,2,76,0
400934558,Kansas State,155,109,30,16,22,0,53, 
400934559,Oklahoma State,494,167,42,32,44,0,61,1
400934560,Oklahoma,333,313,35,16,19,0,74, 
400934561,Tulane,103,253,30,10,22,0,97,1
400934562,Army,17,322,66,2,8,0,38,1
400934563,Ohio State,316,270,32,29,37,0,82,0
400934564,Army,9,418,65,1,3,1,52,0
400934565,Army,42,226,57,1,1,0,62,1
400934566,Army,80,353,50,3,7,1,59, 
400934567,Army,0,413,61,0,5,0,53, 
400934568,Army,141,248,50,8,18,1,75, 
400934569,Army, ,392,59, , ,58, 
400934570,Army,0,513,47,0,2,0,78,1
400934571,North Texas,386,103,33,24,36,1,87, 
400934572,Army,20,221,49,1,1,0,58, 
400934573,Notre Dame,184,422,44,17,30,1,80,0
